Index,Authors,Article Title,,Publication Year,Abstract,Suitability,Confidence,Keyword
86,Joshi,Manure management coupled with bioenergy production: An environmental and economic assessment of large dairies in New Mexico et al.,,2018,"Consolidation in livestock production generates higher net farm incomes due to economies of scale. However, it also brings manure disposal problems. New Mexico ranks number one in the U.S. in dairy herd size. Dairy manure is a significant source of nitrates, and improper management of manure from large dairy farms can produce adverse environmental and health effects. We use a combination of life-cycle assessment, cost-benefit analysis, and sensitivity analysis to assess environmental and economic impacts of three alternative dairy manure management cases: direct land application (DLA), anaerobic digestion (AD), and anaerobic digestion coupled with microalgae cultivation (ADMC). By modeling a typical large dairy farm in New Mexico, four environmental impacts and the present value of net benefits of each case are evaluated under a baseline scenario and different policy scenarios. Our results show that, for a typical large dairy farm in New Mexico, the DLA case is the least sustainable regarding any of the environmental impacts. AD is most profitable in the baseline, tax credit, and carbon credit scenarios while ADMC is most profitable in the presence of a market for nutrient credits. Policy implications are discussed for dairy manure management coupled with bioenergy production on large dairy farms in arid regions. (C) 2018 Elsevier B.V. All rights reserved.",maybe,0.7,dairy manure management
89,Grottola,Steam assisted slow pyrolysis of contaminated biomasses: Effect of plant parts and process temperature on heavy metals fate et al.,,2019,"The post-treatment of biomass from phytoremediation is not yet a well-established practice due to the risk induced by the presence of Potentially Toxic Elements (PTEs). Pyrolysis is a thermochemical treatment that reduces the volume and weight of contaminated matter producing a combustible vapor phase and a solid residue (char). A key factor enhancing the economic and the environmental sustainability of biomass valorization through pyrolysis is the production of a market value char. A proper choice of the pyrolysis operating conditions should take into account the effect of final temperature on PTEs release, on the char physicochemical properties as well as on the mobility of retained PTEs.In particular, in this work the influence of both the temperature and the plant parts is discussed (branches and leaves of Populus Nigra L and rhizomes and culms of Arundo donax L) on the release of Cd, Pb, Cu, and Zn in the temperature range 653-873 K under steam assisted slow pyrolysis conditions. The mobility of the heavy metals retained in the chars was also studied as well as the product yields, the gas composition and char porosity.The results suggested that in presence of Cd it is necessary to operate at low-temperature (lower than 703 K) to obtain a heavy metals free vapor phase fuel, whereas in presence of one or more metals among Pb, Cu, and Zn, it is possible to conduct a pyrolytic treatment at higher temperatures, thus obtaining a char with high BET surface area and lower metals mobility. (C) 2018 Elsevier Ltd. All rights reserved.",maybe,0.75,pyrolysis
93,Vuichard,Soil Carbon Sequestration or Biofuel Production: New Land-Use Opportunities for Mitigating Climate over Abandoned Soviet Farmlands et al.,,2009,"Although the CO2 mitigation potential of biofuels has been studied by extrapolation of small-scale studies, few estimates exist of the net regional-scale carbon balance implications of biofuel cultivations programs, either growing conventional biofuel crops or applying new advanced technologies. Here we used a spatially distributed process-driven model over the 20 Mha of recently abandoned agricultural lands of the Former Soviet Union to quantify the GHG mitigation by biofuel production from Low Input/High Diversity (LIHD) grass-legume prairies and to compare this GHG mitigation with the one of soil C sequestration as it currently occurs. LIHD has recently received a lot of attention as an emerging opportunity to produce biofuels over marginal lands leading to a good energy efficiency with minimal adverse consequences on food security and ecosystem services. We found that depending on the time horizon over which one seeks to maximize the GHG benefit the optimal time for implementing biofuel production shifts from never (short-term horizon) to as soon as possible (longer-term horizon). These results highlight the importance of reaching agreement a priori on the target time interval during which biofuels are expected to play a role within the global energy system, to avoid deploying biofuel technology over a time interval for which it has a detrimental impact on the GHG mitigation objective. The window of opportunity for growing LIHD also stresses the need to reduce uncertainties in soil C inputs, turnover, and soil organic matter stability under current and future climate and management practices.",maybe,0.7,biofuel production
95,Fitter,Are Ecosystem Services Replaceable by Technology? et al.,,2013,"This paper assesses the evidence for and against the view that the processes that deliver ecosystem services are so fundamental within ecosystems that neither the services themselves nor the goods that they deliver to humans could be replaced technologically. I consider cases where the natural processes have been replaced and also the probably more common and usually less invasive cases where they have been enhanced by technological interventions. Supporting services are probably least amenable to technology, with the major exception of nutrient cycling, which has been extensively replaced by the use of chemical fertilizers. Final services offer more examples of actual or potential replacement, including the highly controversial example of geoengineering for climate regulation. Finally, there are numerous examples of replacement technologies for environmental goods, especially in the case of energy (fossil and many renewable fuels), fibres (artificial fibres) and biochemicals (industrial pharmaceuticals). The full economic costs of replacement technologies have rarely been explored, and in some cases it appears that the replacement is more expensive than the natural service. Enhancement technologies, in contrast, supplement the output of ecosystem services and are probably in most cases more benign. The doubts about true costs and the fact that many supporting and final services seem either irreplaceable or only replaceable at huge cost adds to the need to protect them.",maybe,0.7,ecosystem service replacement
96,Wang,Soil Microbiome Structure and Function in Ecopiles Used to Remediate Petroleum-Contaminated Soil et al.,,2021,"The soil microbiome consists of a vast variety of microorganisms which contribute to essential ecosystem services including nutrient recycling, protecting soil structure, and pathogen suppression. Recalcitrant organic compounds present in soils contaminated with fuel oil can lead to a decrease in functional redundancy within soil microbiomes. Ecopiling is a passive bioremediation technique involving biostimulation of indigenous hydrocarbon degraders, bioaugmentation through inoculation with known petroleum-degrading consortia, and phytoremediation. The current study investigates the assemblage of soil microbial communities and pollutant-degrading potential in soil undergoing the Ecopiling process, through the amplicon marker gene and metagenomics analysis of the contaminated soil. The analysis of key community members including bacteria, fungi, and nematodes revealed a surprisingly diverse microbial community composition within the contaminated soil. The soil bacterial community was found to be dominated by Alphaproteobacteria (60-70%) with the most abundant genera such as Lysobacter, Dietzia, Pseudomonas, and Extensimonas. The fungal community consisted mainly of Ascomycota (50-70% relative abundance). Soil sequencing data allowed the identification of key enzymes involved in the biodegradation of hydrocarbons, providing a novel window into the function of individual bacterial groups in the Ecopile. Although the genus Lysobacter was identified as the most abundant bacterial genus (11-46%) in all of the contaminated soil samples, the metagenomic data were unable to confirm a role for this group in petrochemical degradation. Conversely, genera with relatively low abundance such as Dietzia (0.4-9.0%), Pusillimonas (0.7-2.3%), and Bradyrhizobium (0.8-1.8%) did possess genes involved in aliphatic or aromatic compound degradation.",maybe,0.75,bioremediation
99,Franzluebbers,Farming strategies to fuel bioenergy demands and facilitate essential soil services et al.,,2015,"Perennial lignocellulosic biomass and food crop residues have traditionally been important resources used internally on-farm. However given the growing outlook with advanced biofuel conversion technologies, such biomass sources might be of competing greater value if sold off the farm into the bioenergy feedstock stream. Inputs of carbon embedded in above-ground plant biomass are a key biological energy source for the soil surface a zone of great importance in the success of food-feed-fiber production and ecological processes essential to environmental quality. This review of literature looks at how above-ground plant biomass contributes to soil properties and processes, water conservation and quality, on-farm forage availability, and as a harvestable biofuel component. Competing needs for this resource could cause serious environmental or economic consequences without sufficient knowledge of their potential impacts. Perennial forages and crop residues are critical for providing surface cover to protect soils against erosion and for providing the organic inputs to support below-ground ecosystem communities, properties, and processes. The amount of biomass required to maintain soil organic matter and various ecosystem services linked to this key soil property may, in many cases, exceed that needed for simple erosion control. Consequences of continuous residue harvest could be detrimental or minor, depending on the climatic and edaphic conditions, as well the type of cropping system and tillage management employed. Achieving a balanced outcome will require scientific evidence of in-field effects, a collective vision for designing landscapes of appropriate functional capacity, and well-designed government policies for crop residue and perennial biomass utilization schemes to contribute to a sustainable agricultural approach. Published by Elsevier B.V.",maybe,0.6,biomass management
132,Mrunalini,Nature-based solutions in soil restoration for improving agricultural productivity et al.,,2022,"Soil is a living and dynamic body, which is prone to degradation under conventional agricultural practices. Healthy soil is one of the most important pillars of sustainability as it delivers several ecosystem services along with its control on microbial activity, nutrient recycling, and decomposition. Nature-based solutions can play an important role in restoring soil quality for enhanced agricultural productivity and sustainability. This article discusses various nature-based options available for improving soil quality. Indigenous practices such as sheep penning, tank silt application, green manuring, and refuse from croplands and households have the potential to restore and maintain soil fertility. Biofertilizers can add nutrients (N fixers), fixe up to 300 kg N ha through biological nitrogen fixation (BNF) and facilitate (nutrient solubilizer and mobilizers) nutrient availability in the soil. Biochar, a commonly used product, can increase soil moisture availability by 8%-10% and aids in mitigating climate change through C-sequestration. Biochar may have a climate change mitigation potential of 1.8 Pg CO2-C equivalent per year. When added to the soil, it not only acts as a nutrient source; but also acts as a soil amendment. Biogas slurry, the effluent from biogas reactors, contains various nutrient elements that can enrich soil fertility. The holistic approach in a farming system, through integration of different enterprises, reduces dependence on off-farm resources. Soil management through nature-based options will maintain crop productivity and sustainability in the long run without any adverse effects on the environment.",maybe,0.75,nature-based solutions
145,Csikos,Concepts of agricultural marginal lands and their utilisation: A review et al.,,2023,"CONTEXT: The potential of marginal lands to improve food security, support bioenergy production or ecosystem services has globally got a lot of attention. Defining agricultural marginal land is a task that involves more than just considering the land's quality, its definition changed a lot during the last two centuries.OBJECTIVE: Development of new technologies and policy trends require the concepts of prime land and marginal land to be renewed from time to time. Although much research has been done on the concept of marginal land, it is currently limited by the lack of a clear, globally accepted definition.METHOD: There are four major sources of criteria of marginal lands: economic (e.g., rent cost, land value), geographical (e.g., temperature, slope, precipitation), ecosystem-based (e.g., protected areas, recreation, ecosystem services), soil suitability (e.g., yield capability, physical and chemical soil properties). The categorisation of agricultural land into groups like productive, marginal or unproductive often depends on the cultivation or management type.RESULTS AND CONCLUSION: Since conceptions of marginal land are dynamic both in time and space, flexible policy and practical solutions are needed for their non-degrading use, which in any case shall support naturebased socioeconomic development. To maintain the socioeconomic value of these areas, it is crucial to develop rural areas that are economically or biophysically marginalised. High nature value farming, bioenergy crops by sustainable land management and afforestation are highly recommended. Choosing the right management can transform marginal land into an optimal soil condition or incorrect management can degrade prime land into marginal land (unproductive land).SIGNIFICANCE: This paper provides a review and categorisation of the historical and new developments of marginal land concepts especially those which are working with agricultural aspects, including land management and reclamation. It could give a strong basis for further research in topic of marginal land.",maybe,0.7,marginal land
155,Nguyen,A multi-product landscape life-cycle assessment approach for evaluating local climate mitigation potential et al.,,2022,"Increasing demand for land-based climate mitigation requires more efficient management of agricultural landscapes for competing objectives. Here we develop methods for assessing trade-offs and synergies between intensification and carbon-sequestering conservation measures in annual crop production landscapes using the DayCent ecosystem model and the Greenhouse Gases, Regulated Emissions, and Energy Use in Technologies (GREET) life-cycle assessment (LCA) model. We compiled county-scaled crop yields, fertilizer application rates, and tillage intensity for a corn-soybean farming case study landscape in the US state of Iowa. Using DayCent, we estimated a baseline soil organic carbon (SOC) accrual rate of 0.29 Mg C ha- 1 y-1 driven by historical increases in crop productivity and reductions in tillage intensity. We then simulated the effects of management interventions targeted toward intensification (stover removal) and SOC sequestration (tillage intensity reduction and winter cover crop addition) individually and in combination. We propose a new multi-product landscape-LCA approach that analyzes marginal changes in corn grain, corn stover, and soybean production from the landscape in terms of their value for biofuel production (corn ethanol, soy biodiesel, and cellulosic ethanol from stover) and associated net displacement of conventional fossil-derived fuel use. This enables us to evaluate both intensification and sequestration effects in common CO2-equivalent mitigation units. We also used DayCentsimulated yields under the different land management scenarios to estimate farm-level costs and revenues. Our results show that intensification via collecting 30% of corn stover for biofuel production would increase the total greenhouse gas (GHG) mitigation potential of this landscape by 0.93 Mg CO2e ha- 1 y-1 and provide $49 ha- 1 y-1 of additional net revenue from biomass sales, but would reduce the baseline SOC accumulation rate by approximately 40%. In contrast, integrated approaches that include co-adoption of winter cover cropping and/or tillage intensity reduction would result in increased rates of SOC accumulation above the baseline, achieving simultaneous improvements in both farm profits and the overall GHG mitigation potential of the landscape.",maybe,0.7,carbon-sequestering agriculture
156,Koppelmaki,Smart integration of food and bioenergy production delivers on multiple ecosystem services et al.,,2021,"Agriculture is expected to feed an increasing global population while at the same time meeting demands for renewable energy and the supply of ecosystem services such as provision of nutrient cycling and carbon sequestration. However, the current structure of the agricultural system works against meeting these expectations. The spatial separation of crop and livestock farms has created negative environmental consequences, and bioenergy production has created a trade-off between food and energy production. In this paper, we explore the opportunities for ecological intensification at a regional scale made possible by combining food and energy production. We built three scenarios representing farming systems including biogas production using grass biomass and manure. These scenarios included the following: (a) The current system with energy production (CSE) from non-edible agricultural biomasses (CSE). (b) Agroecological symbiosis (AES) identical to CSE except with 20% of the arable cropping area converted to clover-grasses for use in biogas production. (c) Agroecological symbiosis with livestock (AES-LST) where the available grass biomass (20% as in the AES) is fed to livestock and manure then used as a feedstock in biogas production. In each scenario, nutrients were circulated back to crops in the form of digestate. The supply of soil functions (primary production for food and energy, provision of nutrient cycling, and climate mitigation) and impacts on water quality through nutrient losses in these three scenarios were then compared to the current system. Integrating biogas production into food production resulted in an increased supply of nutrient recycling, reduced nutrient losses, and increased carbon inputs to the soils indicating enhanced climate mitigation. Food production was either not affected (CSE), increased (AES-LST), or decreased (AES), and biogas was produced in substantial quantities in each scenario. Our study demonstrated potential synergies in integrating food and energy production without compromising other ecosystem services in each scenario.",maybe,0.65,ecological intensification
176,Sardinha,Dryland Management and Combating Desertification Through Development et al.,,2008,"Although desertification process is not new or site specific, the environmental awareness in a world board scale has enlarged and generated a wider public interest, extensive to the scientific circles and governments. Desertification takes place in all continents except Antarctic and affects the livelihoods of millions of people, including a large proportion of the poor in drylands which occupies about 41% of the Earth's land and are home to more than 2 billion people. The persistence of unresolved stabilization of these fragile lands and the substantial reduction in the provision of ecosystem services as a result of intensive use of resources, incapacity of wide spread adequate technologies for providing increased supply of food, forage and fuel, water scarcity, and climate change puts desertification in among the greatest environmental challenges today and a major impediment to meeting human needs and attainment of the Millennium Development Goals. Scenarios for Climate change add up to environmental degradation associated with desertification bringing new threats of intensification of trends in the expansion of these degraded areas. In Portugal, the predictive scenarios on Climate Change points out the risk line of desertification overtaking already the Tagus River. Although Portugal is far better positioned than other desertification prone dry countries in the tropics and whose intervention examples are revised, the author believes that coping with desertification and its economic conditions, just as it is proposed for the tropics, will likely fare better when proactive management approaches and forest research projects are used and when increased integration of land and water management are implemented by effective policies. These integrated approaches may initially have high costs due to technological development and may also have a slow expression in environment improvement but its long term multiplicative effect may make the difference in conserving or enhance biodiversity and being able to provide acceptable livelihood for people in these risk prone areas.",maybe,0.6,desertification
194,Al-Ateeqi,Plant communities and potential native phytoremediator species in petroleum hydrocarbon-polluted desert systems et al.,,2022,"This paper reports on the recovery of desert plant communities after 20 years of oil-derived hydrocarbon contamination in desert habitats of Kuwait, caused by the First Gulf War (1990-1991). The hypothesis that certain native desert plant species can tolerate weathered oil-polluted soils and can potentially function as bioindicators and phytoremediator species for oil-polluted soil was tested. A field survey of 200 quadrat sampling plots at seven hydrocarbon-contaminated and unpolluted desert areas in Kuwait was performed and recorded 42 plant species, with Haloxylon salicornicum (Moq.) Bunge ex Boiss., Cyperus conglomeratus Rottb., and Rhanterium epapposum Oliv. as the dominant species. Analysis of plant tissues indicated plant uptake and accumulation of some polycyclic aromatic hydrocarbons (PAHs), depending on plant species and specific PAH compounds. Total PAHs in plant tissues in the most contaminated sites were over 200 mu g kg(-1). H. salicornicum could develop in both oil-contaminated soil and uncontaminated soil although their biomass was about 16.7% smaller than usual. However, the plants appeared green and healthy in both sites, and showed no overt stress. The results suggest that some desert plant communities can recover after severe oil pollution and that H. salicornicum may serve as a phytoremediator of oil-contaminated desert soils. Our results also demonstrated that some desert plant communities could be cultivated in oil fields to reduce hydrocarbon contamination and provide support to other ecosystem services through improving soil quality and biodiversity.",maybe,0.7,phytoremediation
