Index,Authors,Article Title,,Publication Year,Abstract,Suitability,Confidence,Keyword
133,Tobin,Integration of wastewater treatment into process design of lignocellulosic biorefineries for improved economic viability,,2020,"Background Production and use of bio-based products offer advantages over conventional petrochemicals, yet the relatively high cost of production has restricted their mainstream adoption. Optimization of wastewater treatment processes could reduce capital expenditures, lowering the barrier to market entry for lignocellulosic biorefineries. This paper characterizes wastewater associated with lignocellulosic ethanol production and evaluates potential wastewater treatment operations. Results It is found that organic material is intrinsic to bioconversion wastewater, representing up to 260 kg of biological oxygen demand per tonne of feedstock processed. Inorganics in the wastewater largely originate from additions during pretreatment and pH adjustments, which increase the inorganic loading by 44 kg per tonne of feedstock processed. Adjusting the ethanol production process to decrease addition of inorganic material could reduce the demands and therefore cost of waste treatment. Various waste treatment technologies-including those that take advantage of ecosystem services provided by feedstock production-were compared in terms of capital and operating costs, as well as technical feasibility. Conclusions It is concluded that wastewater treatment technologies should be better integrated with conversion process design and feedstock production. Efforts to recycle resources throughout the biofuel supply chain through application of ecosystem services provided by adjacent feedstock plantations and recovery of resources from the waste stream to reduce overall capital and operating costs of bioconversion facilities.",maybe,0.6,wastewater treatment
143,Piippo,"The use of bio-waste to revegetate eroded land areas in Yllas, Northern Finland: Toward a zero waste perspective of tourism in the Finnish Lapland",,2014,"Lapland is one of the most attractive nature-tourism areas in Europe, and tourism is vital for local economy. However, recreational tourist activities such as skiing, hiking and horse riding deteriorate the unique and vulnerable nature of Northern Finland. Erosion and wearing of tourist areas negatively affects biodiversity and ecosystem services and reduce the attractiveness of the region. Tourism is also the source of other environmental disturbances such as wastes. Currently, in Lapland, the prevalent waste treatment method is disposal, and wastes are transported over long distances due to lack of recipient facilities for waste management. The suggestion for sustainable waste management Scenario presented in this paper is to find a synergistic solution to both of these problems, by local treatment of bio-waste in an anaerobic digestor and utilization of digestate to revegetate eroded land. It is proposed that bio-waste is co-digested with sewage sludge and offal from slaughterhouses in Yllas in the municipality of Kolari. An estimated 500-1000 t of digestate could be produced and used in tourist areas annually. Experiences from existing seasonal bio-waste collection schemes and interviews of local tourist enterprises and tourists indicate that there is willingness to extend the source separation of wastes. Assessment of the digestion Scenario suggests that economic costs of investment could be offset by avoided costs and by additional environmental and social benefits. It is concluded that this zero waste approach could lead to an improved image of Lapland as a sustainable tourist destination. (C) 2014 Elsevier B.V. All rights reserved.",maybe,0.75,sustainable waste management
147,Ahmed,Dual Purpose of ligninolytic- basidiomycetes: mycoremediation of bioethanol distillation vinasse coupled to sustainable bio-based compounds production,,2020,"Agro-industrial wastes consist of various agriculture and food industry residues produced worldwide at an estimated rate of a thousand million tons per year. Vinasse is the main wastewater resulting from sugarcane bioethanol production. This agro-industrial effluent is highly polluting and, when discarded with no previous treatment, may cause nutrient imbalance and salt saturation in the soil as well as a reduction in photosynthesis in aquatic ecosystems. Environmentally safe vinasse disposal requires reliable mechanisms, preferably involving the production of goods or services. Various cleanup technologies have been implemented and different microorganisms are being studied as viable remediation agents. Ligninolytic basidiomycetes, which have the ability to store, release and mineralize a wide variety of toxic materials and compounds, are a source of valuable biochemicals for agricultural and industrial uses. This review discusses the use of filamentous fungi in the bioremediation of distillery vinasses, their main characteristics, the enzymes implicated and the transformation processes involved in the production of several high-value biobased compounds. (C) 2019 British Mycological Society. Published by Elsevier Ltd. All rights reserved.",maybe,0.6,bioremediation
159,Liu,"Environmental, Ecological, and Economic Benefits of Biofuel Production Using a Constructed Wetland: A Case Study in China",,2019,"Here we show a constructed wetland (CW), a viable alternative wastewater treatment system, be used to produce biofuels from biomass by using nitrogen contained in domestic wastewater. We summarize the potential biomass yield evaluated as cellulosic ethanol bioenergy production, and combine the life cycle analysis with a mass balance approach to estimate the energetic, environmental, and economic performance of a CW biofuel system. The results showed that the annual aboveground biomass yield of a CW in Zhoushan, Zhejiang Province, China, averaged 37,813 kg ha(-1) year(-1) as the by-product of treating waste N, which is about one order of magnitude larger than traditional biofuel production systems. The biomass yield in the Zhoushan CW system had life cycle environment benefits of 8.8 Mg (1 Mg = 10(6) g) CO2 equivalent ha(-1) year(-1) of greenhouse gas emission reduction. The CW in Zhoushan had a net energy gain of 249.9 GJ (1 GJ = 10(9) J) ha(-1) year(-1) while the wastewater treatment plant (WTP) consumes 7442.5 GJ ha(-1) year(-1). Moreover, the CW reduced greenhouse gas emissions to 2714 times less than that of the WTP. The CW also provided various ecosystem services, such as regional climate regulation and habitat conservation. We suggest that the potential use of a CW as biofuel production and carbon sequestration via nitrogen-negative input can be explored more widely in the future.",maybe,0.75,constructed wetland biofuel
161,Houessionon,Economic Valuation of Ecosystem Services from Small-Scale Agricultural Management Interventions in Burkina Faso: A Discrete Choice Experiment Approach,,2017,"The main purpose of this paper is to estimate farmers' preferences and their willingness to pay (WTP) for ecosystem services derived from four agricultural water management (AWM) and resource recovery and reuse (RRR) intervention options in Burkina Faso, using a choice experiment (CE). These include; small water infrastructure, drip irrigation, recovery of organic matter from waste, and treated wastewater. The design decisions relating to attribute selection, the level of attributes, alternatives and choice tasks were guided by literature, field visits, focus group discussions, expert input and an iterative process of the STATA software to generate an orthogonal main-effects CE design. The data used was generated from a random sample of 300 farm households in the Dano and Ouagadougou municipalities in Burkina Faso. Results from conditional logit, latent class logit and mixt logit models show that farmers have positive and significant preferences for drip irrigation, treated wastewater, and organic matter. However, they are WTP on average more for drip irrigation and organic matter for agricultural sustainability. In line with economic theory, the cost of an intervention reduces demand for a given intervention. These findings can provide policy makers with evidence for agricultural policy design to build farmers' resilience in the Sahel.",maybe,0.65,agricultural water management
162,Ko,"Policy adoption of ecosystem services for a sustainable community: A case study of wetland assimilation using natural wetlands in Breaux Bridge, Louisiana",,2012,"Academicians and government officials have advocated incorporating ecosystem services into environmental policy-making processes. The State of Louisiana has adopted policy guidelines for using natural wetlands to assimilate nutrients in secondarily treated municipal effluent, thus utilizing ecosystem services of natural wetlands. We describe a case study for the city of Breaux Bridge, Louisiana, to discuss policy guidelines and assess ecological and financial benefits of this approach. In addition to water quality improvement, wetland assimilation provides additional ecosystem services, including increased vegetative productivity, surface accretion, and carbon sequestration. Financially, using wetland assimilation at Breaux Bridge generated an economic savings of $1.8 million in capital costs and annual savings of $72,116 for operation and maintenance costs, resulting in nearly $3 million savings over the lifetime of the project, due to its low capital expenditures and high energy efficiency, compared with a sand filtration method. When considering rapidly depleting non-renewable resources (e.g., fossil fuels) and challenging financial situations of small communities across the nation, wetland assimilation can be an important factor in designing sustainable communities. (C) 2011 Elsevier B.V. All rights reserved.",maybe,0.6,wetland assimilation
169,Ayaz,Pig manure digestate-derived biochar for soil management and crop cultivation in heavy metals contaminated soil,,2022,"Management of heavy metal-contaminated soil under drought and other harsh hydrological conditions is critical for protecting soil ecosystem services. In this study, we examined the effect of pig manure digestate-derived biochar as a soil amendment (15 t ha(-1)) with N fertilizer (180 kg ha(-1)) on soil and plant heavy metal levels and nutrient availability under various moisture regimes (optimal moisture similar to 15%, drought condition <= 5%, and flooded condition >= 35% wt.). It was observed that biochar applications significantly decreased heavy metals in the spring wheat plants, lowering Cr by 90%, Ni by 50%, Cd by 9% and Pb by 34% compared to non-biochar (control) treatments. However, the pig digestate-derived biochar increased heavy metals in soil under all moisture regimes, increasing soil Cr by 21%, Ni by 43%, Cu by 55%, Zn by 70%, and Pb by 12%. The availability of macroelements also increased with the biochar applications under the optimum moisture regimes in both soil and plants, increasing Mg2+ by 11%, P by 4%, K+ by 50%, and Ca2+ by 56% in the soil, and Mg2+ by 13%, P by 69%, K+ by 29, and Ca2+ by 39% in plants. Biochar addition also improved chlorophyll fluorescence (CF) levels in the crop for the entire season (12th to 62nd day) and the aboveground crop biomass and dry matter contents both increased. Consequently, the use of pig manure digestate-derived biochar with N fertilizer under normal moisture conditions was able to reduce heavy metal availability to plants and thus could be used in contaminated soils to maintain better crop growth and development.",maybe,0.75,biochar amendments
177,Wang,Ecological wetland paradigm drives water source improvement in the stream network of Yangtze River Delta,,2021,"Jiaxing created a precedent using bypass riparian marshes to purify micro-polluted water sources in China. Pond-wetland complex with constructed root channel technology becomes a paradigm which can be analogized as human-body wetland model based on bionics or biomimetics. Heterogeneous plant-bed/ditch system with highly active land/water ecotone interfaces, especially meandering boundaries, breeds many biochemical reactions living areas. Optimization of hydraulic regulation promotes redox environment alternations and wetland treatment efficiency. Here we reported a series of upgrades and performances in Guanjinggang wetland after the Shijiuyang prototype. Morphological reform of plant-bed/ditch system played a vital role. Spatially root channel zone was main force of wetland purification, and temporally the treatment effect was higher in low-temperature seasons indicating non-temperature dependent mechanisms worked. Water pollution comprehensive index improved steadily from IV to III, and comprehensive pollution load was reduced by ca. 40%-60%. Comprehensive evaluation function value further showed the gradients purification effect of the upgraded wetland. Ecological wetlands ameliorated source water quality, and reduced drinking water treatment reagents, thereby bringing about economic benefits. Through wetlands operation, people can see how the micro-polluted surface water becomes clear and clean, so promoting a significant social benefit. As a viable component of urban green space, wetlands could beautify regional eco-environment, freshen the air, increase urban ecological taste, and enhance the eco-environmental protection publicity. Thus, the multifunctional service values and indirect benefits are substantial. Jiaxing ecological wetlands provide a typical paradigm for water pollution remediation in developing countries and plays a leading role in technology engineering radiation effect. (C) 2021 The Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences. Published by Elsevier B.V.",maybe,0.7,wetland purification
187,Mor,"Municipal solid waste landfills in lower- and middle-income countries: Environmental impacts, challenges and sustainable management practices",,2023,"Municipal Solid Waste (MSW) is collected, transported, and disposed of in an unorganized and disordered manner in lower-and middle-income countries. Improper waste disposal in landfills can have severe environ-mental consequences in terms of groundwater, soil and air contamination, resulting in numerous health hazards. In India, Landfills require 1240 ha of land per year and only 21% of MSW is adequately managed. The remaining MSW is not reprocessed or recovered through treatment technologies and is generally disposed of in an un-hygienic landfill. Urban or rural solid waste is usually dumped in low-lying areas, which adds to the green-house gas emissions, obnoxious odor production and causes fire hazards that adversely affect the local ecosystem. Landfills contribute to CH4 production and about 29% of all GHGs emissions, which is more than 15% of the average global contribution. It is also noticed that by 2030 and 2050, global GHGs emissions will rise to 64% and 76% due to uncontrolled waste disposal systems. The study highlights effective solid waste management prac-tices and discusses ways to manage it sustainably through resource recovery. As a result, the study concentrated on using waste-to-energy technologies that still require significant support for execution. The study concluded that waste-to-energy technologies need adequate financial and government support. Further, extreme resource recovery from the waste must be linked with a secure waste disposal system via engineered landfill construction and waste-to-energy plants' operation. Solid waste management also needs local corporations to effectively manage the waste services following national-specific policies and standards, including community awareness and participation, system responsibilities and use of emerging technologies. This will aid in reducing the adverse effects of MSW disposal and achieve the UN's sustainable development goals.",maybe,0.6,waste-to-energy technologies
204,Ajaweed,Evaluation of Physio-Chemical Characteristics of Bio Fertilizer Produced from Organic Solid Waste Using Composting Bins,,2022,"Background: The possibility of converting the organic fraction of municipal solid waste to mature compost using the composting bin method was studied. Nine distinct treatments were created by combining municipal solid waste (MSW) with animal waste (3:1, 2:1), poultry manure (3:1, 2:1), mixed waste (2:1:1), agricultural waste (dry leaves), biocont (Trichoderm hazarium), and humic acid. Weekly monitoring of temperature, pH, EC, organic matter (OM percent), and the C/N ratio was performed, and macronutrients (N, P, K) were measured. Trace elements, including heavy metals (Cd and Pb), were tested in the first and final weeks of maturity. Results: Temperatures in the first days of composting reached the thermophilic phase in MSW compost with animal and poultry manure between 55-60 degrees C, pH and EC (mS/cm) increased during the composting period in most composting bin treatments. Overall, organic matter (OM percent) and the C/N ratio decreased (10.27 to 18.9) as result of microbial activity during composting. Organic matter loss percent was less in treatments containing additives (biocont l humic acid) as well agricultural waste treatment. Composting bin treatments with animals and poultry showed higher K and P at the mature stage with an increase in micronutrients. Finally heavy metals were (2.25-4.20) mg/kg and (139-202) mg/kg for Cd and Pb respectively at maturation stage. Conclusion: Therefore, the results suggested that MSW could be composted in the compost bin method with animal and poultry manure. The physio-chemical parameters pH, Ec and C/N were within the acceptable standards. Heavy metals and micronutrients were under the limits of the USA standards. The significance of this study is that the compost bin may be used as a quick check to guarantee that the outputs of long-term public projects fulfill general sustainability requirements, increase ecosystem services, and mitigate the effect of municipal waste disposal on climate change particularly the hot climate regions.",maybe,0.7,composting
