Index,Authors,Article Title,Publication Year,Abstract,Suitability,Confidence,Keyword
82,Conservation agriculture and resource management under jute (Corchorus spp.) based cropping systems in eastern India et al.,Datta,2020,"Conservation agriculture (CA) technologies involve paradigm shift from traditional agriculture and include minimum soil disturbance, permanent soil cover through crop residues and crop diversification for achieving sustained productivity and making rational use of resources. The climate-resilient crop management technologies of CA reverse the degradation process inherent to the conventional agricultural practices like intensive agriculture, declining factor productivity and provide opportunities to reduce production cost, save inputs, improve soil properties, make efficient resource use and benefit the environment. For nearly two decades, several researches and policies have been disseminated that made significant multiple ecosystem services in the rice-wheat system of the Indo-Gangetic Plains. Likewise, there is a huge potential of CA in jute-based cropping system in eastern India, and there is an urgent need to frame policies and strategies to promote CA in the jute-growing regions of the country to bring sustenance in its production and quality. This article focuses on the emerging concerns due to the practice of conventional methods, and analyses the scope, constraints and research needs for CA and resource management in jute-based cropping systems of India.",yes,0.80,conservation agriculture
83,Agricultural Microbiology Research Progress in India in the New Millennium et al.,Rao,2019,"The research efforts in microbiology over last two decades have focussed on assessing the microbial diversity in various soil types and cropping systems in all agro-eco-regions, including extreme environments resulting in creation of a vast repository of microorganisms, free living and endophytes. A marked departure from the past is their identification by both conventional and molecular methods, resulting in discovery of many novel species. The effects of various soil and agronomic management practices were assessed on soil microbial diversity and soil health by both classical and metagenomic approach. The beneficial effects of organic and integrated farming, and adverse effects of chemical intensification have been assessed, leading to the identification of actinobacteria as important players in maintaining soil health. A major impact has been the firm attention received from policy makers on the urgent need to conserve soil biodiversity and improve soil health. Identification of rapid methods of soil biological health assessment, improved rhizobial inoculants, microbial technology for rapid in situ and ex situ residue and waste breakdown, and mitigating climate change effects are the current priorities. Future priorities include assessment of the structure and function of the vast reservoir of unculturable microbes; deleterious microorganisms, assessment of soil-plant-microbe continuum and plant immunity modulation by microbes; rhizosphere engineering, role of archaea in maintaining soil health, microbial methods to improve soil organic matter formation; assessment and quantification of ecosystem services rendered by agriculturally important microorganisms; and improved microbial technology for biofertilizers and delivery systems. The tremendous advances in agricultural microbiology in last two decades in India are a cause for optimism that solutions will be forged for the above challenges using both classical and modern approaches, thereby ushering in the process more sustainable agricultural systems.",yes,0.80,microbial diversity
1,Life in the 'charosphere' - Does biochar in agricultural soil provide a significant habitat for microorganisms? et al.,Quilliam,2013,"Biochar application has become a novel and emergent technology for sequestering C, improving soil quality and crop production, and is a potential win-win strategy for ecosystem service delivery. Biochar addition can also stimulate soil microbial activity, and although it is unclear exactly why biochar should benefit soil microorganisms, it is thought that the large surface area and volume of pores provide a significant habitat for microbes. The aim of this study was to determine the level of microbial colonisation of wood-derived biochar that had been buried in an agricultural soil for three years. We have examined the level of colonisation on the internal and external surfaces of field-aged biochar by scanning electron microscopy, and used C-14-labelled glucose to quantify the rates of microbial activity in different spatial niches of the biochar and the surrounding soil. Microbial colonisation of field-aged biochar was very sparse, with no obvious differences between the external and internal surfaces. At the high field application rate of 50 t ha(-1), biochar contributed only 6.52 +/- 0.11% of the total soil pore space and 7.35 +/- 0.81% of the total soil surface area of the topsoil (0-30 cm). Further, 17.46 +/- 0.02% of the biochar pores were effectively uninhabitable for most microbes, being <1 mu m in diameter. The initial rate of microbial mineralization of C-14-labelled glucose was significantly greater in the control bulk soil and the soil immediately surrounding the biochar than on the biochar external and internal surfaces. However, lower C use efficiency values of microbes on, or within, the biochar also suggested lower available C status or differences in the structure of the microbial community in the biochar relative to the surrounding soil. This study suggests that, at least in the short term (<= 3 y), biochar does not provide a significant habitat for soil microbes. While biochar is extremely recalcitrant and largely unavailable to soil microbes, changes in soil physicochemical properties and the introduction of metabolically available labile compounds into the surrounding soil (the 'charosphere') may significantly alter soil microbial activity and structure, which could ultimately affect soil-plant-microbe interactions. Therefore, before the wide-scale application of biochar to agricultural land is exploited, it is important that we understand further how the properties of biochar positively or negatively affect soil microbial communities, and in turn, how they interact with, and colonise biochar. (C) 2013 Elsevier Ltd. All rights reserved.",maybe,0.75,microbial colonization
4,Effects of soil macro- and mesofauna on litter decomposition and soil organic matter stabilization et al.,Frouz,2018,"Soil fauna consumes substantial amounts of litter and can even consume the entire annual litterfall in some ecosystems. The assimilation efficiency of fauna may reach 50% but is usually much smaller. Soil fauna may affect soil organic matter (SOM) dynamics not only by assimilating litter but also by modifying the soil environment at many spatiotemporal scales. Litter processing by fauna usually results in a short-term increase in microbial activity in feces; this activity than decreases such that feces over the long term may decompose more slowly than the original litter. During passage through the guts of litter-feeding fauna, litter modifications include fragmentation, consumption of associated microorganisms, pH and redox changes, removal of easily decomposed polysaccharides, increase in the proportion of lignin, and decrease in soluble polyphenols and carbon:nitrogen (C:N) ratios. The coating of litter with clay during passage through earthworms reduces microbial access to the litter as well as conditions for microbial activity by reducing the diffusion of nutrients and oxygen. At a larger scale, soil fauna affects leaching and the release of particulate organic matter (POM), which in turn affect microbial activity in soil. Fauna also affects the distribution of organic matter in the soil profile and determine whether litter decomposes on the soil surface or as POM bound to soil particles, which substantially affects the microbial community and the rate of decomposition. Fauna affects the amount of organic matter entering different SOM pools, and this effect depends on litter quality and the degree of soil C saturation. At an even larger scale, fauna can change the soil profile, soil properties, and the plant community, which may in turn affect microbial activity and the decomposition rate. The effect of soil fauna on litter decomposition and soil C storage can be positive or negative. Faunal effects tend to be greatest in ecosystems under transition, e.g. ecosystem developing after some disturbance during primary or secondary succession.",maybe,0.65,soil fauna dynamics
5,"Soil mapping, classification, and pedologic modeling: History and future directions et al.",Brevik,2016,"Soil mapping, classification, and pedologic modeling have been important drivers in the advancement of our understanding of soil from the earliest days of the scientific study of soils. Soil maps were desirable for purposes of land valuation for taxation, agronomic planning, and even in military operations. Soil mapping required classification systems that would allow communication of mapped information, classification systems required understanding of the soil system, and gaining that understanding included the creation of soil models. Therefore, advancement in one of these highly interrelated areas tended to lead to corresponding advances in the others, and these relationships persist into the modem era. Although many advances in our understanding of the soil system have been made since the late 1800s, when soil science blossomed into a scientific discipline in its own right, there are still many unanswered questions and additional needs in soil mapping, classification, and pedologic modeling. New technologies including GPS, GIS, remote sensing, on-site geophysical instrumentation (EMI, GPR, PXRF, etc.), and the development of statistical and geostatistical techniques have greatly increased our ability to collect, analyze, and predict spatial information related to soils, but linking all of this new information to soil properties and processes can still be a challenge and enhanced pedologic models are needed. The expansion of the use of soil knowledge to address issues beyond agronomic production, such as land use planning, environmental concerns, food security, energy security, water security, and human health, to name a few, requires new ways to communicate what we know about the soils we map as well as bringing forth research questions that were not widely considered in earlier soils studies. At present this information is communicated using dozens of national soil classification systems as well as WRB, but a more universal soil classification system would facilitate international communication of soils information. There are still many significant needs in the area of soil mapping, classification, and pedologic modeling going into the future. (c) 2015 Elsevier B.V. All rights reserved.",maybe,0.65,soil mapping
6,Classification of riparian forest species and health condition using multi-temporal and hyperspatial imagery from unmanned aerial system et al.,Michez,2016,"Riparian forests are critically endangered many anthropogenic pressures and natural hazards. The importance of riparian zones has been acknowledged by European Directives, involving multi-scale monitoring. The use of this very-high-resolution and hyperspatial imagery in a multi-temporal approach is an emerging topic. The trend is reinforced by the recent and rapid growth of the use of the unmanned aerial system (UAS), which has prompted the development of innovative methodology. Our study proposes a methodological framework to explore how a set of multi-temporal images acquired during a vegetative period can differentiate some of the deciduous riparian forest species and their health conditions. More specifically, the developed approach intends to identify, through a process of variable selection, which variables derived from UAS imagery and which scale of image analysis are the most relevant to our objectives.The methodological framework is applied to two study sites to describe the riparian forest through two fundamental characteristics: the species composition and the health condition. These characteristics were selected not only because of their use as proxies for the riparian zone ecological integrity but also because of their use for river management.The comparison of various scales of image analysis identified the smallest object-based image analysis (OBIA) objects (ca. 1 m(2)) as the most relevant scale. Variables derived from spectral information (bands ratios) were identified as the most appropriate, followed by variables related to the vertical structure of the forest. Classification results show good overall accuracies for the species composition of the riparian forest (five classes, 79.5 and 84.1 % for site 1 and site 2). The classification scenario regarding the health condition of the black alders of the site 1 performed the best (90.6 %).The quality of the classification models developed with a UAS-based, cost-effective, and semi-automatic approach competes successfully with those developed using more expensive imagery, such as multi-spectral and hyperspectral airborne imagery. The high overall accuracy results obtained by the classification of the diseased alders open the door to applications dedicated to monitoring of the health conditions of riparian forest. Our methodological framework will allow UAS users to manage large imagery metric datasets derived from those dense time series.",maybe,0.65,riparian forest monitoring
7,"GISQ, a multifunctional indicator of soil quality et al.",Velasquez,2007,"We present here an indicator of soil quality that evaluates soil ecosystem services through a set of 5 subindicators, and further combines them into a single general Indicator of Soil Quality (GISQ). We used information derived from 54 properties commonly used to describe the multifaceted aspects of soil quality. The design and calculation of the indicators were based on sequences of multivariate analyses. Subindicators evaluated the physical quality, chemical fertility, organic matter stocks, aggregation and morphology of the upper 5 cm of soil and the biodiversity of soil macrofauna. A GISQ combined the different subindicators providing a global assessment of soil quality.Research was conducted in two hillside regions of Colombia and Nicaragua, with similar types of land use and socio-economic context. However, soil and climatic conditions differed significantly. In Nicaragua, soil quality was assessed at 61 points regularly distributed 200 m apart on a regular grid across the landscape. In Colombia, 8 plots representing different types of land use were arbitrarily chosen in the landscape and intensively sampled. Indicators that were designed in the Nicaragua site were further applied to the Colombian site to test for their applicability.In Nicaragua, coffee plantations, fallows, pastures and forest had the highest values of GISQ (1.00; 0.80; 0.78 and 0.77, respectively) while maize crops and eroded soils (0.19 and 0.10) had the lowest values. Examination of subindicator values allowed the separate evaluation of different aspects of soil quality: subindicators of organic matter, aggregation and morphology and biodiversity of macrofauna had the maximum values in coffee plantations (0.89; 0.72 and 0.56, respectively on average) while eroded soils had the lowest values for these indicators (0.10; 0.31 and 0.33, respectively).Indicator formulae derived from information gained at the Nicaraguan sites were not applicable to the Colombian situation and site-specific constants were calculated.This indicator allows the evaluation of soil quality and facilitates the identification of problem areas through the individual values of each subindicator. It allows monitoring of change through time and can guide the implementation of soil restoration technologies. Although GISQ formulae computed on a set of data were only valid at a regional scale, the methodology used to create these indices can be applied everywhere. (C) 2007 Elsevier Ltd. All rights reserved.",maybe,0.65,soil quality assessment
9,Mitigating arable soil compaction: A review and analysis of available cost and benefit data et al.,Chamen,2015,"The costs and benefits of soil compaction mitigation are reviewed and analysed based on UK examples and soil types in this article. The review focusses first on operational costs, where the most definitive data are available. This includes the costs associated with remediation/alleviation strategies such as subsoiling. Next it considers the costs of limiting the occurrence of compaction by the adoption of new technologies. The environmental costs of soil compaction, through direct impacts at the farm gate on yields and inputs, and indirectly on ecosystem services provided by soil are also considered to assess the value of different approaches. Factors considered are the influence of soil, farm management practice and novel approaches that are either in use or being developed. Although data were limited and often context specific, the significance of soil compaction to farm gate gross margins was apparent. We examined subsoiling, targeted subsoiling and ploughing as soil compaction mitigation options, as well as low ground pressure tyres, tracked tractors and controlled traffic farming (CTF) as soil compaction avoidance technologies. For mitigation options, only targeted subsoiling resulted in a positive change to gross margin, between 0 pound/ha for sandy soil and 22 pound/ha for clay soil. All soil compaction avoidance technologies increased gross margins significantly, ranging from 26 pound/ha for tracked tractors on sandy soil to 118 pound/ha for CTF on clay soil. Avoidance technologies also decrease leaching and emissions of nitrogen, and require less fuel, providing a win-win situation for farmers and the environment. (C) 2014 Elsevier B.V. All rights reserved.",maybe,0.65,soil compaction mitigation
12,Organic agriculture and ecosystem services et al.,Sandhu,2010,"Ecosystem services (ES), such as biological control, pollination, soil formation, nutrient cycling in agriculture are vital for the sustainable supply of food and fibre. The current trends of decline in the ability of agricultural ecosystems to provide ES pose great threat to food security worldwide. This paper discusses the concept of ES and identifies ES associated with agriculture. It discusses the economic and ecological benefits of these ES on farmland in general and its linkages with organic agriculture. The provision of ES on farmland may help to motivate the redesign of small-scale farms using new eco-technologies based on novel and sound ecological knowledge. This has potential to meet the food demand of growing population without damaging human health and the environment. (C) 2009 Elsevier Ltd. All rights reserved.",maybe,0.65,ecosystem services
14,Soil carbon management and climate change et al.,Lal,2013,"World soils, a large reservoir of reactive carbon, moderate the global carbon cycle, atmospheric chemistry, radioactive forcing and ecosystem services; as such, soil carbon sequestration is important in limiting global warming to 2 degrees C. Among uncertainties are emissions from soils and permafrost, the CO2 fertilization effect, silicate weathering, the fate of eroded carbon, the efficiency of natural sinks, the permanence of carbon sequestered in soil and measurements of changes in soil carbon over short periods. Adoption of proven technologies can sequester carbon at the rate of 500-1000 kg/ha/year in croplands, 50-500 kg/ha/year in grazing lands, 500-1000 kg/ha/year in forestlands and 5-10 kg/ha/year of pedogenic carbonates in arid lands. Soil carbon is stabilized though deep placement, interaction with clays and the formation of stable aggregates. Adoption of recommended practices can be promoted by payments for ecosystems services. Researchable priorities include understanding trends of principal drivers, quantifying feedbacks related to climate change and impacts on ecosystem services.",maybe,0.75,soil carbon sequestration
15,The interactions between vegetation and erosion: new directions for research at the interface of ecology and geomorphology et al.,Osterkamp,2012,"Vegetation and processes of erosion and deposition are interactive. An objective of this paper is to review selected studies that emphasize the interdependencies. The reviews suggest new directions for research uniting ecology and geomorphology the sub-discipline of biogeomorphology. The research, which recently has become vigorous, includes the sources, movement, and fates of fluvial loads of sediment, organic carbon, nutrients, contaminants, and woody debris to low-energy storage sites; the function of biota in causing soil evolution, stability, and sequestration of carbon; the development of new methods to characterize watersheds based on edaphic conditions; and the refinement of current empirical and conceptual models and dendrochronological techniques to measure landscape change. These well acknowledged topics and others less well anticipated ensure that biogeomorphology will remain vibrant. Published in 2011. This article is a US Government work and is in the publish domain in the USA.",maybe,0.65,biogeomorphology
